Sequence.Name,SYMBOL,Sequence.Description,Enzyme.Code
AT3G47450,ATNOS1,"Encodes a protein with similarity to the bacterial YqeH GTPase required for proper ribosome assembly. In Arabidopsis, mutant analyses show that this protein regulates growth and hormonal signaling in plants. It also attenuates oxidative stress and reactive oxygen species (ROS). It also seems to be involved in regulating leaf senescence and cell death. This gene product is also involved in nitric oxide biosynthesis in response to ABA but not exogenous H2O2. This protein also appears to be required for proper plastid biogenesis. Levels of several plastid-localized proteins, including RBCL, ClpP1, and the MEP biosynthesis enzymes DXS and DXR are altered in rif1-1 mutants. This protein was originally characterized as a mitrochondrial-localized nitric oxide synthase, but, the synthase activity was later disproven. In addition, new studies with GFP fusion proteins and chloroplast import assays suggest that this protein is found in chloroplasts.",EC:1.14.13.39
AT3G47450,NOA1,"Encodes a protein with similarity to the bacterial YqeH GTPase required for proper ribosome assembly. In Arabidopsis, mutant analyses show that this protein regulates growth and hormonal signaling in plants. It also attenuates oxidative stress and reactive oxygen species (ROS). It also seems to be involved in regulating leaf senescence and cell death. This gene product is also involved in nitric oxide biosynthesis in response to ABA but not exogenous H2O2. This protein also appears to be required for proper plastid biogenesis. Levels of several plastid-localized proteins, including RBCL, ClpP1, and the MEP biosynthesis enzymes DXS and DXR are altered in rif1-1 mutants. This protein was originally characterized as a mitrochondrial-localized nitric oxide synthase, but, the synthase activity was later disproven. In addition, new studies with GFP fusion proteins and chloroplast import assays suggest that this protein is found in chloroplasts.",EC:1.14.13.39
AT3G47450,NOS1,"Encodes a protein with similarity to the bacterial YqeH GTPase required for proper ribosome assembly. In Arabidopsis, mutant analyses show that this protein regulates growth and hormonal signaling in plants. It also attenuates oxidative stress and reactive oxygen species (ROS). It also seems to be involved in regulating leaf senescence and cell death. This gene product is also involved in nitric oxide biosynthesis in response to ABA but not exogenous H2O2. This protein also appears to be required for proper plastid biogenesis. Levels of several plastid-localized proteins, including RBCL, ClpP1, and the MEP biosynthesis enzymes DXS and DXR are altered in rif1-1 mutants. This protein was originally characterized as a mitrochondrial-localized nitric oxide synthase, but, the synthase activity was later disproven. In addition, new studies with GFP fusion proteins and chloroplast import assays suggest that this protein is found in chloroplasts.",EC:1.14.13.39
AT3G47450,RIF1,"Encodes a protein with similarity to the bacterial YqeH GTPase required for proper ribosome assembly. In Arabidopsis, mutant analyses show that this protein regulates growth and hormonal signaling in plants. It also attenuates oxidative stress and reactive oxygen species (ROS). It also seems to be involved in regulating leaf senescence and cell death. This gene product is also involved in nitric oxide biosynthesis in response to ABA but not exogenous H2O2. This protein also appears to be required for proper plastid biogenesis. Levels of several plastid-localized proteins, including RBCL, ClpP1, and the MEP biosynthesis enzymes DXS and DXR are altered in rif1-1 mutants. This protein was originally characterized as a mitrochondrial-localized nitric oxide synthase, but, the synthase activity was later disproven. In addition, new studies with GFP fusion proteins and chloroplast import assays suggest that this protein is found in chloroplasts.",EC:1.14.13.39
AT3G47450,SVR10,"Encodes a protein with similarity to the bacterial YqeH GTPase required for proper ribosome assembly. In Arabidopsis, mutant analyses show that this protein regulates growth and hormonal signaling in plants. It also attenuates oxidative stress and reactive oxygen species (ROS). It also seems to be involved in regulating leaf senescence and cell death. This gene product is also involved in nitric oxide biosynthesis in response to ABA but not exogenous H2O2. This protein also appears to be required for proper plastid biogenesis. Levels of several plastid-localized proteins, including RBCL, ClpP1, and the MEP biosynthesis enzymes DXS and DXR are altered in rif1-1 mutants. This protein was originally characterized as a mitrochondrial-localized nitric oxide synthase, but, the synthase activity was later disproven. In addition, new studies with GFP fusion proteins and chloroplast import assays suggest that this protein is found in chloroplasts.",EC:1.14.13.39
AT3G47520,MDH,"Encodes a protein with NAD-dependent malate dehydrogenase activity, located in chloroplasts.",EC:1.1.1.37
AT3G47520,pNAD-MDH,"Encodes a protein with NAD-dependent malate dehydrogenase activity, located in chloroplasts.",EC:1.1.1.37
AT3G47800,NA,NA,EC:5.1.3.3
AT3G47930,ATGLDH,"L-Galactono-1,4-lactone dehydrogenase, catalyzes the final step of ascorbate biosynthesis",EC:1.3.2.3
AT3G47930,GLDH,"L-Galactono-1,4-lactone dehydrogenase, catalyzes the final step of ascorbate biosynthesis",EC:1.3.2.3
AT3G47950,AHA4,mutant has Slight reduction in root and shoot growth; Exaggerated defects in salt stress; Plasma Membrane H+ ATPase,EC:3.6.3.6
AT3G47950,HA4,mutant has Slight reduction in root and shoot growth; Exaggerated defects in salt stress; Plasma Membrane H+ ATPase,EC:3.6.3.6
AT3G48000,ALDH2,Encodes a putative (NAD+) aldehyde dehydrogenase.,EC:1.2.1.3
AT3G48000,ALDH2A,Encodes a putative (NAD+) aldehyde dehydrogenase.,EC:1.2.1.3
AT3G48000,ALDH2B4,Encodes a putative (NAD+) aldehyde dehydrogenase.,EC:1.2.1.3
AT3G48110,EDD,glycine-tRNA ligase,EC:6.1.1.14
AT3G48110,EDD1,glycine-tRNA ligase,EC:6.1.1.14
AT3G48170,ALDH10A9,Arabidopsis thaliana putative betaine aldehyde dehydrogenase,EC:1.2.1.8
AT3G48170,BADH,Arabidopsis thaliana putative betaine aldehyde dehydrogenase,EC:1.2.1.8
AT3G48360,ATBT2,"encodes a protein (BT2) that is an essential component of the TAC1-mediated telomerase activation pathway. Acts redundantly with BT3 and BT1 during female gametophyte development and with BT3 during male gametophyte development. BT2 also mediates multiple responses to nutrients, stresses, and hormones.",EC:1.14
AT3G48360,BT2,"encodes a protein (BT2) that is an essential component of the TAC1-mediated telomerase activation pathway. Acts redundantly with BT3 and BT1 during female gametophyte development and with BT3 during male gametophyte development. BT2 also mediates multiple responses to nutrients, stresses, and hormones.",EC:1.14
AT3G48540,DCD,NA,EC:3.5.4.12
AT3G48560,AHAS,"Catalyzes the formation of acetolactate from pyruvate, the first step in valine and isoleucine biosynthesis. Requires FAD, thiamine pyrophosphate and Mg. Inhibited by the sulphonylurea herbicide, chlorsulphuron, and the imidazolinone herbicide, imazapyr.  The obtained crystal structure of acetohydroxyacid synthase AHAS, EC:2.2.1.6)in complex with herbicides of the sulphonylurea and imidazolinone family reveals the molecular basis for substrate/inhibitor binding.",EC:2.2.1.6
AT3G48560,ALS,"Catalyzes the formation of acetolactate from pyruvate, the first step in valine and isoleucine biosynthesis. Requires FAD, thiamine pyrophosphate and Mg. Inhibited by the sulphonylurea herbicide, chlorsulphuron, and the imidazolinone herbicide, imazapyr.  The obtained crystal structure of acetohydroxyacid synthase AHAS, EC:2.2.1.6)in complex with herbicides of the sulphonylurea and imidazolinone family reveals the molecular basis for substrate/inhibitor binding.",EC:2.2.1.6
AT3G48560,CSR1,"Catalyzes the formation of acetolactate from pyruvate, the first step in valine and isoleucine biosynthesis. Requires FAD, thiamine pyrophosphate and Mg. Inhibited by the sulphonylurea herbicide, chlorsulphuron, and the imidazolinone herbicide, imazapyr.  The obtained crystal structure of acetohydroxyacid synthase AHAS, EC:2.2.1.6)in complex with herbicides of the sulphonylurea and imidazolinone family reveals the molecular basis for substrate/inhibitor binding.",EC:2.2.1.6
AT3G48560,IMR1,"Catalyzes the formation of acetolactate from pyruvate, the first step in valine and isoleucine biosynthesis. Requires FAD, thiamine pyrophosphate and Mg. Inhibited by the sulphonylurea herbicide, chlorsulphuron, and the imidazolinone herbicide, imazapyr.  The obtained crystal structure of acetohydroxyacid synthase AHAS, EC:2.2.1.6)in complex with herbicides of the sulphonylurea and imidazolinone family reveals the molecular basis for substrate/inhibitor binding.",EC:2.2.1.6
AT3G48560,TZP5,"Catalyzes the formation of acetolactate from pyruvate, the first step in valine and isoleucine biosynthesis. Requires FAD, thiamine pyrophosphate and Mg. Inhibited by the sulphonylurea herbicide, chlorsulphuron, and the imidazolinone herbicide, imazapyr.  The obtained crystal structure of acetohydroxyacid synthase AHAS, EC:2.2.1.6)in complex with herbicides of the sulphonylurea and imidazolinone family reveals the molecular basis for substrate/inhibitor binding.",EC:2.2.1.6
AT3G48610,NPC6,NA,EC:3.1.4.3
AT3G48730,GSA2,NA,EC:5.4.3.8
AT3G48730,GSAM,NA,EC:5.4.3.8
AT3G48780,ATSPT1,"Encodes one of the two LCB2 subunits (LCB2a and LCB2b) of serine palmitoyltransferase, an enzyme involved in sphingolipid biosynthesis. LCB2a and LCB2b are functional redundant. Double mutants are gametophytic lethal.",EC:2.3.1.50
AT3G48780,SPT1,"Encodes one of the two LCB2 subunits (LCB2a and LCB2b) of serine palmitoyltransferase, an enzyme involved in sphingolipid biosynthesis. LCB2a and LCB2b are functional redundant. Double mutants are gametophytic lethal.",EC:2.3.1.50
AT3G48790,NA,NA,EC:2.3.1.50
AT3G49000,NA,NA,EC:2.7.7.6
AT3G49110,ATPCA,Class III peroxidase Perx33. Expressed in roots. Located in the cell wall. Involved in cell elongation. Expression activated by light.  May play a role in generating H2O2 during defense response.,EC:1.11.1.7
AT3G49110,ATPRX33,Class III peroxidase Perx33. Expressed in roots. Located in the cell wall. Involved in cell elongation. Expression activated by light.  May play a role in generating H2O2 during defense response.,EC:1.11.1.7
AT3G49110,PRX33,Class III peroxidase Perx33. Expressed in roots. Located in the cell wall. Involved in cell elongation. Expression activated by light.  May play a role in generating H2O2 during defense response.,EC:1.11.1.7
AT3G49110,PRXCA,Class III peroxidase Perx33. Expressed in roots. Located in the cell wall. Involved in cell elongation. Expression activated by light.  May play a role in generating H2O2 during defense response.,EC:1.11.1.7
AT3G49120,ATPCB,"Class III peroxidase Perx34. Expressed in roots, leaves and stems. Located in the cell wall. Involved in cell elongation. Expression activated by light. May play a role in generating H2O2 during defense response.",EC:1.11.1.7
AT3G49120,ATPERX34,"Class III peroxidase Perx34. Expressed in roots, leaves and stems. Located in the cell wall. Involved in cell elongation. Expression activated by light. May play a role in generating H2O2 during defense response.",EC:1.11.1.7
AT3G49120,AtPRX34,"Class III peroxidase Perx34. Expressed in roots, leaves and stems. Located in the cell wall. Involved in cell elongation. Expression activated by light. May play a role in generating H2O2 during defense response.",EC:1.11.1.7
AT3G49120,PERX34,"Class III peroxidase Perx34. Expressed in roots, leaves and stems. Located in the cell wall. Involved in cell elongation. Expression activated by light. May play a role in generating H2O2 during defense response.",EC:1.11.1.7
AT3G49120,PRX34,"Class III peroxidase Perx34. Expressed in roots, leaves and stems. Located in the cell wall. Involved in cell elongation. Expression activated by light. May play a role in generating H2O2 during defense response.",EC:1.11.1.7
AT3G49120,PRXCB,"Class III peroxidase Perx34. Expressed in roots, leaves and stems. Located in the cell wall. Involved in cell elongation. Expression activated by light. May play a role in generating H2O2 during defense response.",EC:1.11.1.7
AT3G49160,NA,"Expression of the gene is downregulated in the presence of paraquat, an inducer of photoxidative stress.",EC:2.7.1.40
AT3G49360,PGL2,NA,EC:3.1.1.31
AT3G49680,ATBCAT-3,Encodes a chloroplast branched-chain amino acid aminotransferase. Complements the yeast leu/iso-leu/val auxotrophy mutant.,EC:2.6.1.42
AT3G49680,BCAT3,Encodes a chloroplast branched-chain amino acid aminotransferase. Complements the yeast leu/iso-leu/val auxotrophy mutant.,EC:2.6.1.42
AT3G49700,ACS9,"encodes a a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC:4.4.1.14) gene family.  Mutants produce elevated levels of ethylene as etiolated seedlings.",EC:4.4.1.14
AT3G49700,AtACS9,"encodes a a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC:4.4.1.14) gene family.  Mutants produce elevated levels of ethylene as etiolated seedlings.",EC:4.4.1.14
AT3G49700,ETO3,"encodes a a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC:4.4.1.14) gene family.  Mutants produce elevated levels of ethylene as etiolated seedlings.",EC:4.4.1.14
AT3G49960,PRX35,NA,EC:1.11.1.7
AT3G50000,ATCKA2,casein kinase II catalytic subunit alpha,EC:2.7.11.1
AT3G50000,CKA2,casein kinase II catalytic subunit alpha,EC:2.7.11.1
AT3G50110,ATPEN3,NA,EC:3.1.3.67
AT3G50110,PEN3,NA,EC:3.1.3.67
AT3G50110,PTEN2B,NA,EC:3.1.3.67
AT3G50500,SNRK2-2,"encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.  Enzyme involved in the ABA signaling during seed germination, dormancy and seedling growth.",EC:2.7.11.1
AT3G50500,SNRK2.2,"encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.  Enzyme involved in the ABA signaling during seed germination, dormancy and seedling growth.",EC:2.7.11.1
AT3G50500,SPK-2-2,"encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.  Enzyme involved in the ABA signaling during seed germination, dormancy and seedling growth.",EC:2.7.11.1
AT3G50500,SRK2D,"encodes a member of SNF1-related protein kinases (SnRK2) whose activity is activated by ionic (salt) and non-ionic (mannitol) osmotic stress.  Enzyme involved in the ABA signaling during seed germination, dormancy and seedling growth.",EC:2.7.11.1
AT3G50520,NA,NA,EC:5.4.2.1
AT3G50660,AtDWF4,"Encodes a 22&#945; hydroxylase whose reaction is a rate-limiting step in brassinosteroid biosynthetic pathway. The protein is a member of CYP90B gene family. CLM is an epi-allele  with small, compressed rosette, reduced internode length, and reduced fertility, appears in selfed ddm mutant plants possibly due to loss of cytosine methylation. Transcripts accumulate in actively growing tissues, and GUS expression is negatively  regulated by brassinosteroids. Localized in the endoplasmic reticulum. The in vitro expressed protein can perform the C-22 hydroxylation of a variety of C27-, C28- and C29-sterols. Cholesterol was the best substrate, followed by campesterol. Sitosterol was a poor substrate.",EC:1.14.13
AT3G50660,CLM,"Encodes a 22&#945; hydroxylase whose reaction is a rate-limiting step in brassinosteroid biosynthetic pathway. The protein is a member of CYP90B gene family. CLM is an epi-allele  with small, compressed rosette, reduced internode length, and reduced fertility, appears in selfed ddm mutant plants possibly due to loss of cytosine methylation. Transcripts accumulate in actively growing tissues, and GUS expression is negatively  regulated by brassinosteroids. Localized in the endoplasmic reticulum. The in vitro expressed protein can perform the C-22 hydroxylation of a variety of C27-, C28- and C29-sterols. Cholesterol was the best substrate, followed by campesterol. Sitosterol was a poor substrate.",EC:1.14.13
AT3G50660,CYP90B1,"Encodes a 22&#945; hydroxylase whose reaction is a rate-limiting step in brassinosteroid biosynthetic pathway. The protein is a member of CYP90B gene family. CLM is an epi-allele  with small, compressed rosette, reduced internode length, and reduced fertility, appears in selfed ddm mutant plants possibly due to loss of cytosine methylation. Transcripts accumulate in actively growing tissues, and GUS expression is negatively  regulated by brassinosteroids. Localized in the endoplasmic reticulum. The in vitro expressed protein can perform the C-22 hydroxylation of a variety of C27-, C28- and C29-sterols. Cholesterol was the best substrate, followed by campesterol. Sitosterol was a poor substrate.",EC:1.14.13
AT3G50660,DWF4,"Encodes a 22&#945; hydroxylase whose reaction is a rate-limiting step in brassinosteroid biosynthetic pathway. The protein is a member of CYP90B gene family. CLM is an epi-allele  with small, compressed rosette, reduced internode length, and reduced fertility, appears in selfed ddm mutant plants possibly due to loss of cytosine methylation. Transcripts accumulate in actively growing tissues, and GUS expression is negatively  regulated by brassinosteroids. Localized in the endoplasmic reticulum. The in vitro expressed protein can perform the C-22 hydroxylation of a variety of C27-, C28- and C29-sterols. Cholesterol was the best substrate, followed by campesterol. Sitosterol was a poor substrate.",EC:1.14.13
AT3G50660,PSC1,"Encodes a 22&#945; hydroxylase whose reaction is a rate-limiting step in brassinosteroid biosynthetic pathway. The protein is a member of CYP90B gene family. CLM is an epi-allele  with small, compressed rosette, reduced internode length, and reduced fertility, appears in selfed ddm mutant plants possibly due to loss of cytosine methylation. Transcripts accumulate in actively growing tissues, and GUS expression is negatively  regulated by brassinosteroids. Localized in the endoplasmic reticulum. The in vitro expressed protein can perform the C-22 hydroxylation of a variety of C27-, C28- and C29-sterols. Cholesterol was the best substrate, followed by campesterol. Sitosterol was a poor substrate.",EC:1.14.13
AT3G50660,SAV1,"Encodes a 22&#945; hydroxylase whose reaction is a rate-limiting step in brassinosteroid biosynthetic pathway. The protein is a member of CYP90B gene family. CLM is an epi-allele  with small, compressed rosette, reduced internode length, and reduced fertility, appears in selfed ddm mutant plants possibly due to loss of cytosine methylation. Transcripts accumulate in actively growing tissues, and GUS expression is negatively  regulated by brassinosteroids. Localized in the endoplasmic reticulum. The in vitro expressed protein can perform the C-22 hydroxylation of a variety of C27-, C28- and C29-sterols. Cholesterol was the best substrate, followed by campesterol. Sitosterol was a poor substrate.",EC:1.14.13
AT3G50660,SNP2,"Encodes a 22&#945; hydroxylase whose reaction is a rate-limiting step in brassinosteroid biosynthetic pathway. The protein is a member of CYP90B gene family. CLM is an epi-allele  with small, compressed rosette, reduced internode length, and reduced fertility, appears in selfed ddm mutant plants possibly due to loss of cytosine methylation. Transcripts accumulate in actively growing tissues, and GUS expression is negatively  regulated by brassinosteroids. Localized in the endoplasmic reticulum. The in vitro expressed protein can perform the C-22 hydroxylation of a variety of C27-, C28- and C29-sterols. Cholesterol was the best substrate, followed by campesterol. Sitosterol was a poor substrate.",EC:1.14.13
AT3G50740,UGT72E1,UGT72E1 is an UDPG:coniferyl alcohol glucosyltransferase which specifically glucosylates sinapyl- and coniferyl aldehydes. The enzyme is thought to be involved in lignin metabolism.,EC:2.4.1.111
AT3G50880,NA,NA,EC:3.2.2.21
AT3G51160,GMD2,Catalyzes the first step in the de novo synthesis of GDP-L-fucose.,EC:4.2.1.47
AT3G51160,MUR1,Catalyzes the first step in the de novo synthesis of GDP-L-fucose.,EC:4.2.1.47
AT3G51160,MUR_1,Catalyzes the first step in the de novo synthesis of GDP-L-fucose.,EC:4.2.1.47
AT3G51160,SFR8,Catalyzes the first step in the de novo synthesis of GDP-L-fucose.,EC:4.2.1.47
AT3G51240,F3'H,Encodes flavanone 3-hydroxylase that is coordinately expressed with chalcone synthase and chalcone isomerases. Regulates flavonoid biosynthesis.,EC:1.14.11.9
AT3G51240,F3H,Encodes flavanone 3-hydroxylase that is coordinately expressed with chalcone synthase and chalcone isomerases. Regulates flavonoid biosynthesis.,EC:1.14.11.9
AT3G51240,TT6,Encodes flavanone 3-hydroxylase that is coordinately expressed with chalcone synthase and chalcone isomerases. Regulates flavonoid biosynthesis.,EC:1.14.11.9
AT3G51260,PAD1,"20S proteosomal alpha subunits.  Interacts with SnRK, SKP1/ASK1 during proteasomal binding of an SCF ubiquitin ligase.",EC:3.4.25.1
AT3G51270,NA,NA,EC:2.7.11.1
AT3G51820,ATG4,"Encodes a protein with chlorophyll synthase activity. This enzyme has been shown to perform the esterification of chlorophyllide (a and b), the last step of chlorophyll biosynthesis. Although it can use either geranylgeranyl pyrophosphate (GGPP) or phytyl pyrophosphate (PhyPP) as substrates, the esterification reaction was faster with GGPP than with PhyPP.",EC:2.5.1.62
AT3G51820,CHLG,"Encodes a protein with chlorophyll synthase activity. This enzyme has been shown to perform the esterification of chlorophyllide (a and b), the last step of chlorophyll biosynthesis. Although it can use either geranylgeranyl pyrophosphate (GGPP) or phytyl pyrophosphate (PhyPP) as substrates, the esterification reaction was faster with GGPP than with PhyPP.",EC:2.5.1.62
AT3G51820,G4,"Encodes a protein with chlorophyll synthase activity. This enzyme has been shown to perform the esterification of chlorophyllide (a and b), the last step of chlorophyll biosynthesis. Although it can use either geranylgeranyl pyrophosphate (GGPP) or phytyl pyrophosphate (PhyPP) as substrates, the esterification reaction was faster with GGPP than with PhyPP.",EC:2.5.1.62
AT3G51820,PDE325,"Encodes a protein with chlorophyll synthase activity. This enzyme has been shown to perform the esterification of chlorophyllide (a and b), the last step of chlorophyll biosynthesis. Although it can use either geranylgeranyl pyrophosphate (GGPP) or phytyl pyrophosphate (PhyPP) as substrates, the esterification reaction was faster with GGPP than with PhyPP.",EC:2.5.1.62
AT3G51840,ACX4,"Encodes a short-chain acyl-CoA oxidase, which catalyzes the first step of peroxisomal fatty acid beta-oxidation during early, post-germinative growth in oilseed species. Null mutants virtually lack short-chain acyl-CoA and are resistant to 2,4-dichlorophenoxybutyric acid, which is converted to the herbicide and auxin analogue 2,4-dichlorophenoxyacetic acid by beta-oxidation. Despite the almost complete loss of short-chain activity, lipid catabolism and seedling growth and establishment was unaltered in the acx4 mutant. However, double mutants in acx3acx4 (acx3 encodes medium chain acyl CoA oxidase) were not viable and arrested during embryogenesis.",EC:1.3.3.6
AT3G51840,ATG6,"Encodes a short-chain acyl-CoA oxidase, which catalyzes the first step of peroxisomal fatty acid beta-oxidation during early, post-germinative growth in oilseed species. Null mutants virtually lack short-chain acyl-CoA and are resistant to 2,4-dichlorophenoxybutyric acid, which is converted to the herbicide and auxin analogue 2,4-dichlorophenoxyacetic acid by beta-oxidation. Despite the almost complete loss of short-chain activity, lipid catabolism and seedling growth and establishment was unaltered in the acx4 mutant. However, double mutants in acx3acx4 (acx3 encodes medium chain acyl CoA oxidase) were not viable and arrested during embryogenesis.",EC:1.3.3.6
AT3G51840,ATSCX,"Encodes a short-chain acyl-CoA oxidase, which catalyzes the first step of peroxisomal fatty acid beta-oxidation during early, post-germinative growth in oilseed species. Null mutants virtually lack short-chain acyl-CoA and are resistant to 2,4-dichlorophenoxybutyric acid, which is converted to the herbicide and auxin analogue 2,4-dichlorophenoxyacetic acid by beta-oxidation. Despite the almost complete loss of short-chain activity, lipid catabolism and seedling growth and establishment was unaltered in the acx4 mutant. However, double mutants in acx3acx4 (acx3 encodes medium chain acyl CoA oxidase) were not viable and arrested during embryogenesis.",EC:1.3.3.6
AT3G51850,CPK13,member of Calcium Dependent Protein Kinase,EC:2.7.11.1
AT3G52200,LTA3,"dihydrolipoamide S-acetyltransferase (LTA3) mRNA, nuclear",EC:2.3.1.12
AT3G52200,mtE2-1,"dihydrolipoamide S-acetyltransferase (LTA3) mRNA, nuclear",EC:2.3.1.12
AT3G52210,NA,NA,EC:2.1.1.56
AT3G52300,ATPd,NA,EC:3.6.3.14
AT3G52300,ATPQ,NA,EC:3.6.3.14
AT3G52720,ACA1,"Encodes a putative alpha carbonic anhydrase (CAH1) located in the chloroplast stroma. Most chloroplast proteins are encoded by the nuclear genome and imported with the help of sorting signals that are intrinsic parts of the polypeptides. CAH1 takes an alternative route through the secretory pathway, and becomes N-glycosylated before entering the chloroplast.",EC:4.2.1.1
AT3G52720,ATACA1,"Encodes a putative alpha carbonic anhydrase (CAH1) located in the chloroplast stroma. Most chloroplast proteins are encoded by the nuclear genome and imported with the help of sorting signals that are intrinsic parts of the polypeptides. CAH1 takes an alternative route through the secretory pathway, and becomes N-glycosylated before entering the chloroplast.",EC:4.2.1.1
AT3G52720,CAH1,"Encodes a putative alpha carbonic anhydrase (CAH1) located in the chloroplast stroma. Most chloroplast proteins are encoded by the nuclear genome and imported with the help of sorting signals that are intrinsic parts of the polypeptides. CAH1 takes an alternative route through the secretory pathway, and becomes N-glycosylated before entering the chloroplast.",EC:4.2.1.1
AT3G52730,NA,NA,EC:1.10.2.2
AT3G52840,BGAL2,NA,EC:3.2.1.23
AT3G52880,ATMDAR1,"Encodes a peroxisomal monodehydroascorbate reductase, involved in the ascorbate-glutathione cycle which removes toxic H2O2",EC:1.6.5.4
AT3G52880,MDAR1,"Encodes a peroxisomal monodehydroascorbate reductase, involved in the ascorbate-glutathione cycle which removes toxic H2O2",EC:1.6.5.4
AT3G52930,AtFBA8,NA,EC:4.1.2.13
AT3G52930,FBA8,NA,EC:4.1.2.13
AT3G52940,ELL1,Encodes a sterol C-14 reductase required for cell division and expansion and is involved in proper organization of the embryo.,EC:1.3.1.70
AT3G52940,FK,Encodes a sterol C-14 reductase required for cell division and expansion and is involved in proper organization of the embryo.,EC:1.3.1.70
AT3G52940,HYD2,Encodes a sterol C-14 reductase required for cell division and expansion and is involved in proper organization of the embryo.,EC:1.3.1.70
AT3G52970,CYP76G1,member of CYP76G,EC:1.14
AT3G52990,NA,NA,EC:2.7.1.40
AT3G53190,NA,NA,EC:4.2.2.2
AT3G53260,ATPAL2,"Encodes phenylalanine lyase. Arabidopsis has four PALs: AT2G37040 (PAL1), AT3G53260 (PAL2), AT5G04230 (PAL3) and AT3G10340 (PAL4).",EC:4.3.1.24
AT3G53260,PAL2,"Encodes phenylalanine lyase. Arabidopsis has four PALs: AT2G37040 (PAL1), AT3G53260 (PAL2), AT5G04230 (PAL3) and AT3G10340 (PAL4).",EC:4.3.1.24
AT3G53280,CYP71B5,cytochrome P450 monooxygenase,EC:1.14
AT3G53290,CYP71B30P,"missing N-term 80 AA not found between end of 71B5 and start of this sequence probably a pseudogene, from http://drnelson.utmem.edu/biblioD.html",EC:1.14
AT3G53300,CYP71B31,putative cytochrome P450,EC:1.14
AT3G53580,NA,NA,EC:5.1.1.7
AT3G53620,AtPPa4,Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.,EC:3.6.1.1
AT3G53620,PPa4,Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.,EC:3.6.1.1
AT3G53900,PYRR,"Encodes UPP, a plastidial uracil phosphoribosyltransferase (UPRT) involved in uracil salvage.  Loss-of-function mutation causes dramatic growth retardation, a pale-green to albino phenotype, abnormal root morphology and chloroplastic disorders.",EC:2.4.2.9
AT3G53900,UPP,"Encodes UPP, a plastidial uracil phosphoribosyltransferase (UPRT) involved in uracil salvage.  Loss-of-function mutation causes dramatic growth retardation, a pale-green to albino phenotype, abnormal root morphology and chloroplastic disorders.",EC:2.4.2.9
AT3G53930,ATG1b,NA,EC:2.7.11.1
AT3G54050,cfbp1,Encodes HCEF1 (High Cyclic Electron Flow 1).  Mutant phenotype: constitutively elevated electron flow (CEFI).,EC:3.1.3.11
AT3G54050,HCEF1,Encodes HCEF1 (High Cyclic Electron Flow 1).  Mutant phenotype: constitutively elevated electron flow (CEFI).,EC:3.1.3.11
AT3G54130,NA,NA,EC:3.4.22
AT3G54250,AtMDD2,NA,EC:4.1.1.33
AT3G54250,MDD2,NA,EC:4.1.1.33
AT3G54420,ATCHITIV,"encodes an EP3 chitinase that is expressed during somatic embryogenesis in 'nursing' cells surrounding the embryos but not in embryos themselves. The gene is also expressed in mature pollen and growing pollen tubes until they enter the receptive synergid, but not in endosperm and integuments as in carrot.  Post-embryonically, expression is found in hydathodes, stipules, root epidermis and emerging root hairs.",EC:3.2.1.14
AT3G54420,ATEP3,"encodes an EP3 chitinase that is expressed during somatic embryogenesis in 'nursing' cells surrounding the embryos but not in embryos themselves. The gene is also expressed in mature pollen and growing pollen tubes until they enter the receptive synergid, but not in endosperm and integuments as in carrot.  Post-embryonically, expression is found in hydathodes, stipules, root epidermis and emerging root hairs.",EC:3.2.1.14
AT3G54420,CHIV,"encodes an EP3 chitinase that is expressed during somatic embryogenesis in 'nursing' cells surrounding the embryos but not in embryos themselves. The gene is also expressed in mature pollen and growing pollen tubes until they enter the receptive synergid, but not in endosperm and integuments as in carrot.  Post-embryonically, expression is found in hydathodes, stipules, root epidermis and emerging root hairs.",EC:3.2.1.14
AT3G54420,EP3,"encodes an EP3 chitinase that is expressed during somatic embryogenesis in 'nursing' cells surrounding the embryos but not in embryos themselves. The gene is also expressed in mature pollen and growing pollen tubes until they enter the receptive synergid, but not in endosperm and integuments as in carrot.  Post-embryonically, expression is found in hydathodes, stipules, root epidermis and emerging root hairs.",EC:3.2.1.14
AT3G54440,NA,NA,EC:3.2.1.23
AT3G54470,NA,encodes the bi-functional orotate phosphoribosyltransferase/orotidine-5'-phosphate decarboxylase catalyzing the fifth and sixth step in the de novo pyrimidine ribonucleotide biosynthesis,EC:4.1.1.23
